US01M,US02Y,US03MY,US05Y,US10Y,US20Y,US30Y,FEDFUNDS,VIX,DJT,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,VIX,VIX3M,VIX9D,PC,PCC,TICK,TICK.NQ,TICK.US,TICKI,TICKQ,TKVD.US,1/VOLX,VIXM/VIXY,XLY*XLK/(XLP*XLU),ATHI.NQ-ATLO.NQ,ATHI.US-ATLO.US,HYG/UB1!,6A1!,6B1!,6C1!,6E1!,6J1!,6S1!,CL1!,CL2!,HG1!,PL1!,SI1!,GC1!,ES1!,NG1!,YM1!,RTY1!,ZT1!,ZF1!,ZN1!,ZB1!,UB1!,RB1!,RB2!
5.28,5.026,5.432,4.637,4.622,4.963,4.765,5.33,15.31,14281.86,82.745,33.54,101.1,175.19,68.51,60.04,125.59,158.71,15.31,17.31,14.59,0.932846,1.097584,-322,27.0,-27.0,-11,400,-12555589.0,0.0632111251580278,0.8969521044992742,6.7595681845344,-456.0,-930.0,0.6308547008547009,0.63825,1.223,0.7246,1.06895,0.0066485,1.11135,75.56,75.6,3.6315,863.1,22.685,1964.6,4365.5,3.049,33974.0,1694.4,101.296875,105.109375,107.53125,113.0,117.0,2.1591,2.1338
5.28,5.026,5.432,4.637,4.622,4.963,4.765,5.33,15.31,14281.95,82.74,33.55,101.1,175.19,68.51,60.04,125.6,158.71,15.31,17.31,14.59,0.932846,1.097584,-322,3.0,-45.0,-11,400,-12540322.0,0.0632111251580278,0.8969521044992742,6.7595681845344,-458.0,-926.0,0.6308547008547009,0.63825,1.223,0.7246,1.06895,0.006648,1.11125,75.56,75.6,3.6315,863.1,22.685,1964.6,4365.0,3.049,33970.0,1694.5,101.29296875,105.1015625,107.515625,113.0,117.0,2.1591,2.1338
5.28,5.026,5.432,4.637,4.622,4.966,4.765,5.33,15.31,14282.11,82.745,33.55,101.1,175.19,68.51,60.04,125.59,158.71,15.31,17.31,14.59,0.932846,1.097584,-322,-19.0,-50.0,-11,400,-12517452.0,0.06325110689437065,0.8969521044992742,6.7595681845344,-459.0,-928.0,0.631023243387657,0.63825,1.223,0.7245,1.06895,0.006648,1.11125,75.56,75.6,3.631,862.9,22.685,1964.6,4365.25,3.049,33971.0,1694.6,101.29296875,105.109375,107.515625,113.0,116.96875,2.1591,2.1338
5.28,5.026,5.432,4.637,4.622,4.966,4.765,5.33,15.31,14282.05,82.74,33.55,101.1,175.19,68.51,60.04,125.59,158.71,15.31,17.31,14.59,0.932846,1.097584,-322,-28.0,-31.0,-11,400,-12558697.0,0.06325110689437065,0.897820823244552,6.7595681845344,-461.0,-929.0,0.631023243387657,0.6382,1.2228,0.72455,1.06885,0.006648,1.11125,75.56,75.6,3.631,862.9,22.685,1964.5,4365.0,3.049,33969.0,1694.5,101.29296875,105.1015625,107.515625,113.0,116.96875,2.1591,2.1336
5.28,5.026,5.432,4.637,4.622,4.966,4.765,5.33,15.31,14280.15,82.74,33.55,101.1,175.215,68.51,60.03,125.59,158.7,15.31,17.29,14.58,0.932846,1.097584,-322,-22.0,-34.0,-11,400,-12560996.0,0.06319115323854661,0.897820823244552,6.761232943592427,-462.0,-930.0,0.631023243387657,0.6381,1.2227,0.7245,1.06875,0.0066475,1.11115,75.56,75.6,3.63,862.7,22.675,1964.3,4364.25,3.049,33964.0,1694.1,101.2890625,105.09375,107.5,113.0,116.96875,2.1591,2.1336
5.28,5.026,5.432,4.637,4.622,4.966,4.765,5.33,15.31,14278.62,82.73,33.55,101.08,175.17,68.51,60.03,125.58,158.67,15.31,17.29,14.58,0.932846,1.097584,-322,-92.0,-274.0,-11,400,-12750114.0,0.06317119393556538,0.897820823244552,6.758218686598897,-463.0,-942.0,0.631023243387657,0.6381,1.2227,0.7245,1.06875,0.0066475,1.11115,75.57,75.6,3.6305,862.8,22.675,1964.3,4364.25,3.049,33964.0,1694.5,101.28515625,105.09375,107.5,113.0,116.96875,2.1591,2.1336
5.28,5.026,5.432,4.637,4.622,4.966,4.768,5.33,15.31,14278.66,82.73,33.54,101.08,175.17,68.51,60.03,125.56,158.68,15.31,17.29,14.58,0.932846,1.097584,-322,-119.0,-349.0,-11,400,-12767317.0,0.06315124723713293,0.8965183752417795,6.7586446158033215,-462.0,-952.0,0.6309377504675394,0.6381,1.2227,0.7245,1.06875,0.0066475,1.11105,75.56,75.6,3.63,862.8,22.675,1964.3,4364.25,3.049,33965.0,1694.5,101.28515625,105.09375,107.5,113.0,116.96875,2.1591,2.1336
5.28,5.026,5.432,4.637,4.622,4.966,4.768,5.33,15.33,14278.74,82.73,33.54,101.08,175.17,68.51,60.02,125.56,158.67,15.33,17.28,14.54,0.932846,1.097584,-322,-103.0,-331.0,-11,400,-12759027.0,0.06315124723713293,0.8965183752417795,6.759344681048514,-463.0,-943.0,0.6309377504675394,0.6381,1.2227,0.7245,1.06875,0.0066475,1.11105,75.56,75.6,3.63,862.9,22.675,1964.3,4364.75,3.049,33966.0,1694.5,101.28515625,105.09375,107.5,112.96875,116.96875,2.1591,2.1337
5.28,5.026,5.432,4.637,4.622,4.966,4.768,5.33,15.33,14279.79,82.73,33.55,101.09,175.17,68.51,60.02,125.56,158.67,15.33,17.28,14.54,0.932846,1.097584,-322,-104.0,-240.0,-11,400,-12748948.0,0.0632111251580278,0.8965183752417795,6.759344681048514,-463.0,-935.0,0.6309377504675394,0.6381,1.2228,0.7245,1.0688,0.0066475,1.1111,75.56,75.6,3.63,862.9,22.675,1964.3,4365.5,3.049,33971.0,1694.9,101.28515625,105.1015625,107.5,113.0,116.96875,2.1591,2.1337
5.28,5.026,5.432,4.637,4.622,4.966,4.768,5.33,15.33,14280.07,82.73,33.55,101.08,175.17,68.51,60.02,125.55,158.67,15.33,17.28,14.54,0.932846,1.097584,-322,-107.0,-294.0,-11,400,-12843573.0,0.06317119393556538,0.8965183752417795,6.759344681048514,-463.0,-944.0,0.6309377504675394,0.63815,1.2228,0.7245,1.0688,0.0066475,1.11115,75.56,75.6,3.63,862.9,22.675,1964.4,4365.75,3.049,33971.0,1695.0,101.28515625,105.1015625,107.515625,113.03125,116.96875,2.1591,2.1337
